Tytuł,Cena,link,Metraż,Dzielnica
Wyjątkowe mieszkanie z widokiem na klasztor w Tyńcu i panoramę Tatr,780 000 zł,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-z-widokiem-na-klasztor-w-tyncu-i-panorame-tatr-ID4vfbA.html,52,Zwierzyniec
"Gotowiec inwestycyjny — 100% wynajęte mieszkanie! Rentowność "" 9% """,1 200 000 złdo negocjacji,/d/oferta/gotowiec-inwestycyjny-100-wynajete-mieszkanie-rentownosc-9-CID3-ID10MiG0.html,"70,50",Prądnik Biały
Mieszkanie z balkonem / Borek Fałęcki,279 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-z-balkonem-borek-falecki-ID4y65D.html,"19,80",Łagiewniki-Borek Fałęcki
Rakowicka • 2 pokoje • Balkon • Tramwaj • UEK • Akademia Rolnicza,360 000 złdo negocjacji,/d/oferta/rakowicka-2-pokoje-balkon-tramwaj-uek-akademia-rolnicza-CID3-ID16K0Fa.html,25,Stare Miasto
Przytulna kawalerka / Blisko Collegium Medicum,199 000 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-blisko-collegium-medicum-ID4y668.html,"15,40",Podgórze Duchackie
•2 pokojowe • Balkon • Blisko UEK / Akademia Rolnicza • Spytaj o Rabat,370 000 złdo negocjacji,/d/oferta/2-pokojowe-balkon-blisko-uek-akademia-rolnicza-spytaj-o-rabat-CID3-ID171sVh.html,"25,80",Stare Miasto
Piękna kawalerka po generalnym remoncie bezpośrednio od właściciela!,449 000 zł,https://www.otodom.pl/pl/oferta/piekna-kawalerka-po-generalnym-remoncie-bezposrednio-od-wlasciciela-ID4xU56.html,24,Prądnik Biały
Przytulna kawalerka / Blisko Collegium Medicum,199 000 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-blisko-collegium-medicum-ID4xsIr.html,"15,40",Podgórze Duchackie
Przestronne mieszkanie z balkonem i parkingiem!,1 130 000 zł,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-balkonem-i-parkingiem-ID4yb79.html,"85,33",Podgórze
3-pok. 51m2 *Sidzina ul. Działowskiego*ogród 208m2,664 170 zł,https://www.otodom.pl/pl/oferta/3-pok-51m2-sidzina-ul-dzialowskiegoogrod-208m2-ID4xdye.html,"51,09",Dębniki
Ustawne 2 pokoje | Planty Bieńczyckie,432 000 zł,https://www.otodom.pl/pl/oferta/ustawne-2-pokoje-planty-bienczyckie-ID4xsZZ.html,36,Nowa Huta
2 POKOJOWE 40 mkw na Bunscha na sprzedaż!,710 000 złdo negocjacji,/d/oferta/2-pokojowe-40-mkw-na-bunscha-na-sprzedaz-CID3-ID178B7t.html,40,Dębniki
Bobrzyńskiego 45A Ruczaj piękne dwustronne 2pokoje,749 000 zł,https://www.otodom.pl/pl/oferta/bobrzynskiego-45a-ruczaj-piekne-dwustronne-2pokoje-ID4uPaX.html,52,Dębniki
Wykończone 2 pokoje! Bieżanowska/ Prokocim,325 000 zł,https://www.otodom.pl/pl/oferta/wykonczone-2-pokoje-biezanowska-prokocim-ID4y3Xh.html,27,Bieżanów-Prokocim
"Mieszkanie 3 pokojowe, świetny rozkład, blisko centrum",675 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-swietny-rozklad-blisko-centrum-ID4yage.html,52,Grzegórzki
Potencjał w samym sercu Podgórza | Nawet 10% ROI,1 099 000 zł,https://www.otodom.pl/pl/oferta/potencjal-w-samym-sercu-podgorza-nawet-10-roi-ID4y3ju.html,"75,64",Podgórze
Kawalerka z balkonem / Bieżanów,255 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-biezanow-ID4y64Y.html,"18,80",Bieżanów-Prokocim
2M| 5 min Serenada_parking_zieleń_dobrze oświetlone|,465 000 zł,https://www.otodom.pl/pl/oferta/2m-5-min-serenada-parking-zielen-dobrze-oswietlone-ID4ydOD.html,36,Bieńczyce
"2pokoje, osobna kuchnia, 11 949 zł/m2, balkon, piwnica, garaż",545 000 zł,https://www.otodom.pl/pl/oferta/2pokoje-osobna-kuchnia-11-949-zl-m2-balkon-piwnica-garaz-ID4y9w5.html,"45,61",Prądnik Biały
2 pokoje wysoki standard | balkon | Bonarka,399 000 zł,https://www.otodom.pl/pl/oferta/2-pokoje-wysoki-standard-balkon-bonarka-ID4rmrZ.html,27,Podgórze
Kawalerka 27m Nowa Huta,329 000 złdo negocjacji,/d/oferta/kawalerka-27m-nowa-huta-CID3-ID17oBrz.html,27,Nowa Huta
"Na sprzedaż mieszkanie 26,18 m² – świetna lokalizacja.",337 000 zł,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-26-18-m-swietna-lokalizacja-ID4yca4.html,"26,18",Bieńczyce
