Tytuł,Cena,link,Metraż,Dzielnica
"2pokoje, oddzielna kuchnia,os.Albertyńskie,Czyżyny",639 999 zł,https://www.otodom.pl/pl/oferta/2pokoje-oddzielna-kuchnia-os-albertynskie-czyzyny-ID4yeSg.html,"44,56",Czyżyny
Sprzedam mieszkanie 2-pokojowe 40 m2,650 000 zł,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-2-pokojowe-40-m2-CID3-ID17qlFg.html,40,Nowa Huta
"ŚwietnaOkazyjnaOferta/2pok/d.balkon,piwnica/Chmieleniec.Ruczaj,Kupuj.",559 000 zł,https://www.otodom.pl/pl/oferta/swietnaokazyjnaoferta-2pok-d-balkon-piwnica-chmieleniec-ruczaj-kupuj-ID4yelH.html,"43,55",Dębniki
2 pok/42 m2/do zamieszkania/po remoncie/os.Albertyńskie/balkon,633 000 złdo negocjacji,https://www.olx.pl/d/oferta/2-pok-42-m2-do-zamieszkania-po-remoncie-os-albertynskie-balkon-CID3-ID17kRt9.html,"42,30",Bieńczyce
"Kraków, Poznańska 5 — 55 m² + taras 20 m², 2 pok., garderoba, k. lokat",850 000 zł,https://www.olx.pl/d/oferta/krakow-poznanska-5-55-m-taras-20-m-2-pok-garderoba-k-lokat-CID3-ID17jVvX.html,55,Krowodrza
"Kraków, Tanie 2 pokoje, 290-315 tys",315 000 zł,https://www.otodom.pl/pl/oferta/krakow-tanie-2-pokoje-290-315-tys-ID4y3Y4.html,"35,11",Mistrzejowice
Sprzedam mieszkanie Kraków Prądnik właściciel,795 000 zł,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-krakow-pradnik-wlasciciel-CID3-ID17jWuY.html,59,Prądnik Czerwony
Mieszkanie 2-pok. z balkonem Dobrego Pasterza 129,465 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-z-balkonem-dobrego-pasterza-129-ID4yiGi.html,32,Mistrzejowice
Krowodrza Górka Rusznikarska ⭐2 pokoje + balkon ⭐doskonała lokalizacja,470 000 zł,https://www.otodom.pl/pl/oferta/krowodrza-gorka-rusznikarska-2-pokoje-balkon-doskonala-lokalizacja-ID4yjxc.html,30,Prądnik Biały
Na sprzedaż mieszkanie ul. Obozowa Kraków,870 000 złdo negocjacji,https://www.olx.pl/d/oferta/na-sprzedaz-mieszkanie-ul-obozowa-krakow-CID3-ID17Agef.html,"63,94",Podgórze Duchackie
Mieszkanie na sprzedaż 41.83m2 CENTRUM |GOTOWE |Wyposażone |Inwestycja,857 515 zł,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-41-83m2-centrum-gotowe-wyposazone-inwestycja-ID4xVAV.html,"41,83",Krowodrza
"2pokoje, oddzielna kuchnia,os.Albertyńskie,Czyżyny",639 999 zł,https://www.otodom.pl/pl/oferta/2pokoje-oddzielna-kuchnia-os-albertynskie-czyzyny-ID4yeSg.html,"44,56",Czyżyny
"Dwupokojowe mieszkanie z oddzielną kuchnią - Bronowicka,",699 000 zł,https://www.olx.pl/d/oferta/dwupokojowe-mieszkanie-z-oddzielna-kuchnia-bronowicka-CID3-ID17kaZE.html,50,Bronowice
Felińskiego 3 pokoje - sprzedaż,770 000 zł,https://www.otodom.pl/pl/oferta/felinskiego-3-pokoje-sprzedaz-ID4yhJH.html,"52,99",Prądnik Czerwony
Zabłocie • TOP LOKALIZACJA • Nowe • WYKOŃCZONE • m.postojowe • balkon,829 600 zł,https://www.otodom.pl/pl/oferta/zablocie-top-lokalizacja-nowe-wykonczone-m-postojowe-balkon-ID4sP2L.html,40,Podgórze
"Kraków ul. Helclów,  mieszkanie sprzedam, stan deweloperski",550 000 zł,https://www.olx.pl/d/oferta/krakow-ul-helclow-mieszkanie-sprzedam-stan-deweloperski-CID3-ID177E7A.html,34,Stare Miasto
Mieszkanie na sprzedaż Podedworze 13,542 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-podedworze-13-ID4y5OE.html,"34,50",Podgórze Duchackie
2 pokoje wysoki standard | balkon | Bonarka,399 000 zł,https://www.otodom.pl/pl/oferta/2-pokoje-wysoki-standard-balkon-bonarka-ID4rmrZ.html,27,Podgórze
"VistaDom - mieszkanie 1 pokojowe, os. Szklane Dom",425 000 zł,https://www.otodom.pl/pl/oferta/vistadom-mieszkanie-1-pokojowe-os-szklane-dom-ID4xoSN.html,"31,73",Nowa Huta
"Mieszkanie 3 pokojowe, Prądnik Czerwony, budynek z 2004 roku",850 000 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-pradnik-czerwony-budynek-z-2004-roku-CID3-ID17C1i3.html,"55,40",Prądnik Czerwony
Wykończone 2 pokoje! Bieżanowska/ Prokocim,325 000 zł,https://www.otodom.pl/pl/oferta/wykonczone-2-pokoje-biezanowska-prokocim-ID4y3Xh.html,27,Bieżanów-Prokocim
Mieszkanie w wysokim standardzie z garażem,535 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-w-wysokim-standardzie-z-garazem-ID4v0Tg.html,"30,94",Dębniki
"Mieszkanie 47,7m Kraków ul. Sołtysowska Fajny Dom,od właściciela",763 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-47-7m-krakow-ul-soltysowska-fajny-dom-od-wlasciciela-ID4xIta.html,"47,70",Czyżyny
Mieszkanie 2-pok. 51 m2 Bronowice Mydlniki atrakcyjne wyposażone,725 000 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-2-pok-51-m2-bronowice-mydlniki-atrakcyjne-wyposazone-CID3-ID17BriP.html,51,Bronowice
Przestronne mieszkanie z garażem w cenie!!,1 150 000 zł,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-garazem-w-cenie-ID4xVyW.html,"71,32",Prądnik Biały
Dwupokojowe nowoczesne mieszkanie Bronowice,574 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-nowoczesne-mieszkanie-bronowice-ID4yiog.html,28,Bronowice
3 Osobne Pokoje! Do Odświeżenia!,555 000 zł,https://www.otodom.pl/pl/oferta/3-osobne-pokoje-do-odswiezenia-ID4yfZM.html,49,Mistrzejowice
"Nowe 2-pokojowe, 12 min do Rynku, Autobus tylko 200m!",559 000 zł,https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-12-min-do-rynku-autobus-tylko-200m-ID4xPrO.html,"34,30",Prądnik Biały
2 pok. na Krowodrzy* 38 m2* Gotowe* Bez PCC* Odlicz VAT* Wynajęte,345 000 zł,https://www.otodom.pl/pl/oferta/2-pok-na-krowodrzy-38-m2-gotowe-bez-pcc-odlicz-vat-wynajete-ID4yfFQ.html,"38,50",Krowodrza
Mieszkanie Kraków ul. Białoprądnicka | Prądnik Biały,970 000 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-krakow-ul-bialopradnicka-pradnik-bialy-CID3-ID17kxex.html,"81,53",Prądnik Biały
2 pok | oddzielna kuchnia | od zaraz,550 000 zł,https://www.otodom.pl/pl/oferta/2-pok-oddzielna-kuchnia-od-zaraz-ID4yfDV.html,"42,40",Bieżanów-Prokocim
Tania Kawalerka W Nowej Hucie,349 000 zł,https://www.otodom.pl/pl/oferta/tania-kawalerka-w-nowej-hucie-ID4yjvs.html,19,Nowa Huta
.. w przygotowaniu... prezentacje od 20 września,595 999 zł,https://www.otodom.pl/pl/oferta/w-przygotowaniu-prezentacje-od-20-wrzesnia-ID4ybH6.html,53,Czyżyny
Dwustronne mieszkanie z ogródkiem,715 000 zł,https://www.otodom.pl/pl/oferta/dwustronne-mieszkanie-z-ogrodkiem-ID4xTgV.html,57,Bieżanów-Prokocim
Słoneczne 2 pok + kuchnia balkon przy Parku mpec,579 000 zł,https://www.otodom.pl/pl/oferta/sloneczne-2-pok-kuchnia-balkon-przy-parku-mpec-ID4yi4v.html,"46,04",Podgórze Duchackie
Perfekcyjne 3 pokojowe mieszkanie- Podgórze,659 000 zł,https://www.otodom.pl/pl/oferta/perfekcyjne-3-pokojowe-mieszkanie-podgorze-ID4ybwo.html,50,Bieżanów-Prokocim
Mieszkanie w kamienicy na Starym Podgórzu 3-pokoje,750 000 zł,https://www.olx.pl/d/oferta/mieszkanie-w-kamienicy-na-starym-podgorzu-3-pokoje-CID3-ID14PeH9.html,52,Podgórze
