Tytuł,Cena,link,Metraż,Dzielnica
Urocza i całkowicie wyposażona kawalerka generalnym  remoncie,349 złdo negocjacji,https://www.olx.pl/d/oferta/urocza-i-calkowicie-wyposazona-kawalerka-generalnym-remoncie-CID3-ID17C6Ia.html,19,Nowa Huta
Przestronne mieszkanie+parking+ogród,1 250 000 zł,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-parking-ogrod-ID4xSyr.html,"97,13",Bronowice
Stylowe mieszkanie z ogrodem i garderobą!,780 890 zł,https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-z-ogrodem-i-garderoba-ID4vYkG.html,"70,99",Podgórze
Przytulna kawalerka / Blisko Collegium Medicum,199 000 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-blisko-collegium-medicum-ID4xsIr.html,"15,40",Podgórze Duchackie
Mieszkanie w kamienicy na Starym Podgórzu 3-pokoje,750 000 zł,https://www.olx.pl/d/oferta/mieszkanie-w-kamienicy-na-starym-podgorzu-3-pokoje-CID3-ID14PeH9.html,52,Podgórze
"Mieszkanie 3 pokojowe, świetny rozkład, blisko centrum",675 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-swietny-rozklad-blisko-centrum-ID4yage.html,52,Grzegórzki
3-pokojowe mieszkanie z balkonem i widokiem na zieleń!,730 000 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-balkonem-i-widokiem-na-zielen-ID4yk26.html,"53,47",Krowodrza
2-pokojowe mieszkanie 60 m² z ogródkiem - ul. Niezapominajek,595 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-60-m-z-ogrodkiem-ul-niezapominajek-ID4xrUk.html,60,Zwierzyniec
"3 pok. balkon, komórka, garaż, teren zamknięty.",799 900 zł,https://www.otodom.pl/pl/oferta/3-pok-balkon-komorka-garaz-teren-zamkniety-ID4y5Ox.html,62,Prądnik Biały
Okazja! Kawalerka Plac Bohaterów Getta 15m2 księga wieczysta,275 000 zł,https://www.otodom.pl/pl/oferta/okazja-kawalerka-plac-bohaterow-getta-15m2-ksiega-wieczysta-ID4yiXj.html,"15,25",Podgórze
Kraków – Olsza – ul. Młyńska,495 000 zł,https://www.otodom.pl/pl/oferta/krakow-olsza-ul-mlynska-ID4xWIg.html,"37,50",Grzegórzki
2 pokojowy lokal mieszkalno-użytkowy po remoncie  ul. Zyblikiewicza,585 000 zł,https://www.olx.pl/d/oferta/2-pokojowy-lokal-mieszkalno-uzytkowy-po-remoncie-ul-zyblikiewicza-CID3-ID17wwfk.html,39,Stare Miasto
Sprzedam  mieszkanie w centrum Krakowa przy Galerii Kazimierz,615 400 złdo negocjacji,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-w-centrum-krakowa-przy-galerii-kazimierz-CID3-ID16zON3.html,"36,20",Grzegórzki
Przestronne mieszkanie Bochenka,549 000 zł,https://www.olx.pl/d/oferta/przestronne-mieszkanie-bochenka-CID3-ID16VG9L.html,"37,60",Podgórze Duchackie
Kameralne mieszkanie z balkonem!,690 000 zł,https://www.otodom.pl/pl/oferta/kameralne-mieszkanie-z-balkonem-ID4yk5y.html,"46,70",Prądnik Biały
Gotowe do wprowadzenia się| 2 pokoje,639 000 zł,https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-sie-2-pokoje-ID4yjxV.html,"39,60",Mistrzejowice
Ustawne 2 pokoje | Planty Bieńczyckie,432 000 zł,https://www.otodom.pl/pl/oferta/ustawne-2-pokoje-planty-bienczyckie-ID4xsZZ.html,36,Nowa Huta
"3-pokojowe 43,3m2 po generalnym remoncie, Osiedle Na Lotnisku 17",689 000 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-43-3m2-po-generalnym-remoncie-osiedle-na-lotnisku-17-ID4y1op.html,"43,30",Mistrzejowice
4 pokoje na zamkniętym osiedlu !,790 000 zł,https://www.otodom.pl/pl/oferta/4-pokoje-na-zamknietym-osiedlu-ID4y7dt.html,66,Podgórze Duchackie
Czteropokojowe mieszkanie z balkonem i ogrzewaniem z sieci miejskiej,750 000 zł,https://www.otodom.pl/pl/oferta/czteropokojowe-mieszkanie-z-balkonem-i-ogrzewaniem-z-sieci-miejskiej-ID4yjBH.html,"50,60",Grzegórzki
1-pokojowe mieszkanie 31m2 + ogródek Bezpośrednio,419 286 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bezposrednio-ID4wuTU.html,"31,29",Bieżanów-Prokocim
1-pokojowe mieszkanie z pięknym widokiem!,433 500 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-z-pieknym-widokiem-ID4xq1h.html,"29,10",Prądnik Czerwony
3-pokojowe mieszkanie z dużym balkonem i piwnicą!,649 000 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-duzym-balkonem-i-piwnica-ID4yg8E.html,56,Podgórze Duchackie
